"BehaviorSpace results (NetLogo 6.0.1)"
"ModelAgents-BlanchLopezMingo.nlogo"
"Experiment1 (350, 4.0)"
"06/13/2017 19:59:06:911 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","3"
"[run number]","max-capacity","train-frequency-exponential","[step]","mean-waiting-time / ticks-per-minute"
"11","350","4","4501","3.4369409269139295"
"4","350","4","4501","3.3377160382464366"
"5","350","4","4501","3.388274360162793"
"3","350","4","4501","2.6760765580353207"
"12","350","4","4501","4.408418726905642"
"6","350","4","4501","4.894919731240703"
"10","350","4","4501","3.623605118019067"
"9","350","4","4501","4.485885154736608"
"7","350","4","4501","4.345594653348419"
"2","350","4","4501","4.3402340766763405"
"8","350","4","4501","4.541908012437532"
"13","350","4","4501","3.216803429351679"
"14","350","4","4501","3.529826445151592"
"21","350","4","4501","3.692627154751265"
"16","350","4","4501","4.022757278238976"
"19","350","4","4501","3.7035213810919765"
"18","350","4","4501","4.1891195459652995"
"15","350","4","4501","2.843603224231201"
"17","350","4","4501","4.106772592365163"
"22","350","4","4501","3.0167090829885983"
"20","350","4","4501","3.2430140968865153"
"23","350","4","4501","4.397757985928182"
"24","350","4","4501","3.519498027967013"
"25","350","4","4501","3.374597070518951"
"29","350","4","4501","2.7430324333579947"
"26","350","4","4501","4.74710211406722"
"27","350","4","4501","9.445253589192571"
"30","350","4","4501","4.57069891483659"
"32","350","4","4501","3.6198939051556964"
"28","350","4","4501","2.997069351999775"
"31","350","4","4501","3.1874729815335345"
"33","350","4","4501","3.390025821154196"
"34","350","4","4501","3.2979896338049315"
"1","350","4","4501","2.8068487736835985"
"36","350","4","4501","2.8615143294290086"
"35","350","4","4501","4.588594439781384"
"39","350","4","4501","3.1776575413550012"
"37","350","4","4501","3.846649469310596"
"41","350","4","4501","5.665784278741173"
"38","350","4","4501","2.7722453898845107"
"42","350","4","4501","4.18624032141673"
"40","350","4","4501","6.580216516199632"
"44","350","4","4501","3.3127975415386217"
"43","350","4","4501","4.373586812768485"
"45","350","4","4501","3.320083491855324"
"47","350","4","4501","2.6209024953803928"
"48","350","4","4501","3.4610508399785673"
"53","350","4","4501","4.028104568705144"
"50","350","4","4501","4.70288074472986"
"49","350","4","4501","4.335274142812709"
"51","350","4","4501","4.1566693126407355"
"55","350","4","4501","4.004415353313314"
"54","350","4","4501","3.331842479876736"
"56","350","4","4501","2.903672450445648"
"52","350","4","4501","3.132282503911374"
"57","350","4","4501","4.650169920638785"
"58","350","4","4501","2.762012058961944"
