"BehaviorSpace results (NetLogo 6.0.1)"
"ModelAgents-BlanchLopezMingo.nlogo"
"Prova pilot - Experiment3 (700, 4.0)"
"06/13/2017 19:52:50:638 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","3"
"[run number]","max-capacity","train-frequency-exponential","[step]","mean-waiting-time / ticks-per-minute"
"3","700","4","4501","2.3959303469644366"
"4","700","4","4501","2.231419640863713"
"7","700","4","4501","2.2371525027592027"
"5","700","4","4501","2.258736928310445"
"8","700","4","4501","2.232713787922381"
"2","700","4","4501","2.236759181739199"
"6","700","4","4501","2.4112332032160526"
"10","700","4","4501","2.2393828971046883"
"9","700","4","4501","2.239527662060557"
"14","700","4","4501","2.236659685666308"
"13","700","4","4501","2.2431244448264995"
"11","700","4","4501","2.4565518736576806"
"12","700","4","4501","2.2532657169796897"
"15","700","4","4501","2.2627622032036347"
"16","700","4","4501","2.2697530581988468"
"19","700","4","4501","2.4500995893644015"
"18","700","4","4501","2.33025758714834"
"17","700","4","4501","2.3251759933573792"
"22","700","4","4501","2.3245077157283296"
"21","700","4","4501","2.347886084530545"
"20","700","4","4501","2.411028826325801"
"1","700","4","4501","2.3310591972469474"
"23","700","4","4501","2.356392493746972"
"25","700","4","4501","2.234107313065441"
"26","700","4","4501","2.3984133341343425"
"24","700","4","4501","2.236225439437926"
"28","700","4","4501","2.3486507345025753"
"27","700","4","4501","2.335035337481955"
"29","700","4","4501","2.1916958466925545"
"31","700","4","4501","2.2120804608199145"
"33","700","4","4501","2.368854016325959"
"32","700","4","4501","2.3457952086883154"
"34","700","4","4501","2.2278017579281153"
"36","700","4","4501","2.33017880647978"
"35","700","4","4501","2.1835420941031716"
"37","700","4","4501","2.318484896522496"
"38","700","4","4501","2.190637208969302"
"39","700","4","4501","2.2990452223631155"
"40","700","4","4501","2.3112323019765584"
"41","700","4","4501","2.364086642551835"
"43","700","4","4501","2.309866943826174"
"44","700","4","4501","2.2775211948900695"
"42","700","4","4501","2.2231352271652427"
"45","700","4","4501","2.3693133195648093"
"46","700","4","4501","2.223561398417885"
"48","700","4","4501","2.298410796332015"
"47","700","4","4501","2.344100965010175"
"49","700","4","4501","2.284197589041794"
"50","700","4","4501","2.3171296492918865"
"30","700","4","4501","2.346104870379793"
