"BehaviorSpace results (NetLogo 6.0.1)"
"ModelAgents-BlanchLopezMingo.nlogo"
"Prova pilot - Experiment2 (350, 1.0)"
"06/13/2017 19:51:28:323 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","3"
"[run number]","max-capacity","train-frequency-exponential","[step]","mean-waiting-time / ticks-per-minute"
"2","350","1","4501","1.6940343518765324"
"8","350","1","4501","1.6769455834894516"
"4","350","1","4501","1.6061791733809503"
"6","350","1","4501","1.7282425808379418"
"7","350","1","4501","1.7828858789989392"
"3","350","1","4501","1.6863460386278717"
"5","350","1","4501","1.5951418339663592"
"9","350","1","4501","1.740553145506788"
"12","350","1","4501","1.8598018161072136"
"11","350","1","4501","1.719443082481923"
"13","350","1","4501","1.7154261337772634"
"10","350","1","4501","1.7183416239266738"
"14","350","1","4501","1.7092692199873851"
"15","350","1","4501","1.6721584492129598"
"16","350","1","4501","1.6958436981296643"
"18","350","1","4501","1.6867719777243277"
"17","350","1","4501","1.6751588730235851"
"19","350","1","4501","1.7807965774100374"
"21","350","1","4501","1.6441648569231675"
"20","350","1","4501","1.7519915166563211"
"22","350","1","4501","1.6734687043552399"
"1","350","1","4501","1.6684088432128648"
"23","350","1","4501","1.7057961675577364"
"24","350","1","4501","1.663324951348042"
"26","350","1","4501","1.7774091049314706"
"29","350","1","4501","1.7459266734832088"
"27","350","1","4501","1.5827962652518985"
"28","350","1","4501","1.6545548773716174"
"25","350","1","4501","1.6483093161559097"
"31","350","1","4501","1.674171776473146"
"33","350","1","4501","1.637451793416672"
"34","350","1","4501","1.8234267318365176"
"32","350","1","4501","1.8233553127643158"
"35","350","1","4501","1.659802274957682"
"36","350","1","4501","1.6173767272247037"
"37","350","1","4501","1.7310481810975074"
"38","350","1","4501","1.7599445371023492"
"39","350","1","4501","1.66359842177503"
"40","350","1","4501","1.710553620395761"
"42","350","1","4501","1.7036657563650504"
"43","350","1","4501","1.729135728873434"
"41","350","1","4501","1.6849183783465314"
"44","350","1","4501","1.7018244318713802"
"45","350","1","4501","1.6541975079521962"
"46","350","1","4501","1.674679628425696"
"47","350","1","4501","1.6735369152778907"
"50","350","1","4501","1.6552142910917282"
"48","350","1","4501","1.6522895899012675"
"49","350","1","4501","1.6633973992911912"
"30","350","1","4501","1.6930327886743526"
